Quality,#1 ID,#2 ID,#1 String,#2 String
0,3448500,3448457,"Ryland Group ( nyse : RYL - news - people ) , a homebuilder and mortgage-finance company , sank $ 9.65 , or 11.6 percent , to $ 73.40 .","Swedish telecom equipment maker Ericsson ( nasdaq : QCOM - news - people ) jumped $ 2.88 , or 15.7 percent , to $ 21.28 ."
1,3271547,3271275," The United States welcomes a greater NATO role in Iraq 's stabilisation ,  Powell said , according to the text of prepared remarks seen by Reuters ."," The United States welcomes a greater NATO role in Iraq 's stabilization ,  Mr. Powell said in a speech to fellow NATO ministers ."
1,2661769,2661835,"Additionally , the new Server Admin tool is intended to make it easy for system administrators to set up , manage and monitor the services built into Panther Server .","In addition , Apple 's new Server Admin tool makes it easy for system administrators to set up , manage and monitor the complete set of services built into Panther Server ."
1,1646691,1646618,"Police spokesman Brig. Gen. Edward Aritonang confirmed Saturday that another two had been arrested , one in Jakarta and another in Magelang , Central Java .","Brigadier General Edward Aritonang , a police spokesman , confirmed yesterday that another two had been arrested , one in Jakarta and another in Magelang , Central Java ."
0,920072,920500,"Freddie Mac shares fell $ 1.49 , to $ 50.01 , on the New York Stock Exchange after official acknowledgment of the criminal investigation .","Freddie Mac shares fell $ 1.50 on Wednesday , to close at $ 50 on the New York Stock Exchange ."
1,82938,83014,A group of investors wants to start a TV network aimed at the estimated 8 million Muslims living in the United States .,A group of investors said Friday it wants to start a television network aimed at the interests of an estimated 8 million Muslims living in the United States .
1,1084599,1084669,Viacom 's lawyers say Spike is a common name that does not necessarily prompt thoughts of Lee .,Viacom 's lawyers say Spike is a common name that doesn 't necessarily prompt thoughts of the 46-year-old film director .
1,3438092,3438142,"The government has chosen three companies to develop plans to protect commercial aircraft from shoulder-fired missile attacks , homeland security officials announced Tuesday .",The Department of Homeland Security announced Tuesday that it has selected three companies to continue research into ways to thwart shoulder-fired missile attacks on U.S. commercial aircraft .
0,159377,159256,"More than 60 suspected cases have been reported in the United States , none of them fatal .","Sixty-five probable cases of SARS have been identified in the United States , along with 255 suspected cases ."
1,419328,419467,The horrific nature of the attacks is often fueled by a mix of tribal hatreds and a desire to spread terror in the region .,The attacks are often fuelled by a mix of tribal hatreds and a desire to spread terror in the region .
0,1277805,1277554,He was revived but was pronounced dead at Virginia Medical Center in Arlington .,He was declared dead on arrival at Virginia Hospital Center in Arlington at 9 : 13 a.m.
0,142746,142671,"Gyorgy Heizler , head of the local disaster unit , said the coach was carrying 38 passengers .","The head of the local disaster unit , Gyorgy Heizler , said the coach driver had failed to heed red stop lights ."
1,2965122,2965159," The fire calmed down considerably overnight , then it rained ,  said Andy Lyon , spokesman for the fire south of the city ."," The fire calmed down considerably overnight , then it rained ,  said Andy Lyon , spokesman for the Douglas County fire command center ."
0,640880,640597," There 's nothing we can do to stop  the water flow , Stegman said ."," Right now , there is nothing we can do ,  Stegman said ."
1,2724579,2724652,"About 22 % of twentysomethings are obese , which is roughly 30 pounds over a healthy weight .",About 31 percent of Americans are now obese — roughly 30 or more pounds over a healthy weight .
0,946020,946033,"While a critical success , Luhrmann 's opulent production of the Puccini opera will end with losses of about $ US6 million ( $ A9.2 million ) .",Baz Luhrmann 's opulent version of the Puccini opera will fold June 29 after a disappointing seven-month run and losses of about $ 6 million .
1,2865933,2865910,He urged the US to provide clear rules on what would happen at possible trials .,Government sources said Mr Howard urged the US to provide clear rules governing any potential trials .
0,2819406,2819535,Diana was at her lowest ebb when she wrote the letter to Paul Burrell claiming there was a plot to kill her .,Burrell said Diana wrote a letter in October 1996 claiming there was a plot to kill her in a smash and gave it to him to keep as insurance .
0,2565371,2565170,The FTC has asked the court to suspend its decision while the agency appeals .,U.S. District Judge Edward W. Nottingham in Denver denied an FTC request to suspend his decision while the agency appeals .
0,2654770,2654751,"In 2001 , President Bush named Kathy Gregg to the Student Loan Marketing Association board of directors .","In 2001 , President Bush named her to the Student Loan Marketing Association , the largest U.S. lender for students ."
1,4177,4083,The decomposed remains of 17-year-old Max Guarino of Manhattan were found floating near City Island April 25 .,"Max Guarino , 17 , was found April 25 in the water off City Island ."
1,2767189,2767088,There will be no vote on the issue but those opposed to Robinson 's appointment are thought to outnumber those who accept it by around 20 to 17 .,There will be no vote on the issue but those opposed to Robinson 's appointment are thought to be in the majority .
1,1805942,1806008,"Lucent 's stock was off 7 cents , or 3.7 percent , at $ 1.84 in morning trading on the New York Stock Exchange .","Lucent shares fell 8 cents , or 4.19 percent , to $ 1.83 a share in morning trading on the New York Stock Exchange ."
1,381187,381127,"A pamphlet will be issued to the public through major hardware chains , local libraries and on the EPA Web site : www.epa.gov.",It will be distributed through major hardware store chains and local libraries and will be available on the EPA Web site : www.epa.gov.
1,413097,413107,"""But right now it looks manageable , """" Gehman told reporters .""","""Right now it looks to me like it 's going to be manageable , """" he said ."""
1,1793541,1793607,Tampering with medicine has been so lucrative that many of those arrested lived in million-dollar homes .,"Tampering with medicine apparently was so lucrative , investigators said , that many of the suspects lived in million-dollar homes ."
1,670712,670500,"In addition , David Jones will pay him $ 10 million to take over the Foodchain leases .",DJs will pay homewares and furniture group Freedom $ 10 million to take over the Foodchain store leases .
1,2733813,2733802,"""Whether it works out , timewise , that I can march with all four ... we 'll see what happens , """" he said .""","""Whether it works out timewise with all four , I don 't know but we will see what happens . """""""
0,176016,175686,"Shares of Ahold rose 12 cents , or 2.3 percent , to 5.35 euros in Amsterdam .","Ahold 's U.S. shares rose 52 cents , or 9 percent , to $ 6.30 ."
1,239902,239998,Mascia-Frye works in the state development office .,Mascia-Frye oversees European operations for the West Virginia Development Office .
0,1962336,1962172,"America Online last quarter lost 846,000 dial-up subscribers .","No wonder AOL lost 846,000 subscribers last quarter ."
0,312392,312450,"Opposition to the bill has come from environmentalists , the Miccosukee Tribe , some scientists and members of Congress .","Besides a federal judge , the criticism has mounted from environmentalists , the Miccosukee Tribe , some scientists and some congressional leaders ."
1,347375,347270,The World Health Organization and the United States Centers for Disease Control sent down a team to look into it .,The World Health Organization and the Centers for Disease Control and Prevention in the United States have sent a team to investigate .
1,1653312,1653243," Accusations of improper activity are as false today as they were when the Democrats first made them ,  Grella said .","""Accusations of improper activity are as false today as when the Democrats first made them . """""""
1,577860,578532,Doctors have speculated that the body 's own estrogen protects against cell damage and improves blood flow .,Their belief was based on speculation that estrogen prevents cell damage and improves blood flow .
1,3104386,3104362,"Shares in Wal-Mart closed at $ 58.28 , up 16 cents , in Tuesday trading on the New York Stock Exchange .",Wal-Mart shares rose 16 cents to close at $ 58.28 on the New York Stock Exchange .
0,249655,249749,"Shares in Tellabs were up 16 cents , or 2.2 percent , at $ 7.34 in morning trading on Nasdaq .","Shares in Tellabs , after initially rising , were unchanged at $ 7.18 on Nasdaq shortly after midday ."
1,3200940,3201393,"Jackson , 45 , posted a $ 3 million bond and returned to Las Vegas , where he is filming a music video .","After posting $ 3 million bail , Jackson flew to Las Vegas , where he had been working on a video ."
1,1737201,1737431,Recall advocates say they have turned in 1.6 million signatures to counties .,Recall proponents say they have turned in nearly twice the number of necessary signatures .
0,603159,603135,"He said that President Bush 's proposed Clean Air Act amendment , called the Clear Skies Initiative , would result in greater efficiency and therefore less pollution .","He said that by allowing power companies more flexibility , the Clear Skies Initiative would result in greater efficiency and therefore less pollution ."
0,1757141,1756840,Mr. Hampton had been living at a residence for AIDS patients in Beth Israel Hospital .,"Hampton , 39 , died in Beth Israel Hospital , Tipograph said ."
0,453448,453574,"The 30-year bond US30YT = RR grew 1-3 / 32 for a yield of 4.30 percent , down from 4.35 percent late Wednesday .","At 11 a.m. ( 1500 GMT ) , the 10-year note US10YT = RR was up 11 / 32 for a yield of 3.36 percent from 3.40 percent Wednesday ."
1,1489846,1489778,The findings are being published today in the Annals of Internal Medicine .,The findings are published in the July 1st issue of the Annals of Internal Medicine .
1,2580937,2580985,"Lee said Brianna had dragged food , toys and other things into the bedroom .","Lee , 33 , said the girl had dragged the food , toys and other things into her mother 's bedroom ."
0,809904,810197,"""Police arrested a """" potential suspect """" Monday in the abduction of a 9-year-old who was found safe after two days , the police chief said .""","""Police have arrested a """" potential suspect """" in the abduction of 9-year-old Jennette Tamayo , San Jose Police Chief William Lansdowne said Monday ."""
1,1153182,1153169,"But the yen 's gains were capped by wariness about Japanese intervention , with some traders reporting irregular bids that smack of intervention around 118 yen .","But the yen 's gains were capped by wariness about Japanese intervention , with some traders reporting irregular bids around 118 yen that could be from the Bank of Japan ."
1,2610710,2610781,"""A second Indonesian , Imam Samudra , the so-called """" field commander """" of the bombings , was sentenced to death last month .""","Imam Samudra , leader of the team that carried out the bombing , was sentenced to death last month ."
1,903636,903755,Ontario Premier Ernie Eves appointed a judge on Tuesday to hold an independent investigation into how the province has handled SARS .,Ontario Premier Ernie Eves announced yesterday that a former judge would conduct an independent investigation of how the province and city handled SARS .
0,841596,841803,"""The best the investigators can do is nitpick about the process and substance of isolated business decisions ... and question his competence as a manager . """"""","""Ebbers ' lawyer , Reid Weingarten , said despite the thorough investigation , """" the best the investigators can do is nitpick about the process and substance of isolated business decisions . """""""
1,1106648,1106676,He was convicted by a Ventura County Superior Court jury and sentenced in absentia to 124 years in prison .,He was convicted in his absence in January and sentenced to 124 years .
0,953113,953368,Shares of Guidant plummeted in trading both on and off the New York Stock Exchange before a news halt was imposed after midday .,Shares of Guidant were down 5.3 percent at $ 40.92 in afternoon trading on the New York Stock Exchange .
0,2424444,2424265,"Sean Harrigan , president of the California Public Employees ' Retirement System , also suggested paring down the NYSE 's 27-member board , changing its composition and making it more accountable .","Sean Harrigan , president of the California Public Employees ' Retirement System , also suggested paring the NYSE 's 27-member board and allotting more seats to investors outside the securities industry ."
0,2151922,2151544,Maurice Greene advanced to the semifinals of the 100-meter dash at the World Track and Field Championships .,Rogge was a witness to Drummond 's tantrums Sunday at the World Track and Field Championships .
1,868307,868276,He said that it would be ' ' very difficult ' ' to establish a cause of death .,"""Even with time , he said , """" it 's going to be very difficult to determine the cause of death . """""""
1,1015170,1015204,"Wal-Mart , Kohl 's Corp. , Family Dollar Stores Inc . , and Big Lots Inc. were among the merchants posting May sales that fell below Wall Street 's modest expectations .","Wal- Mart , Kohl 's Corp. , Family Dollar Stores Inc . , and Big Lots Inc. posted May sales that fell below Wall Street 's modest expectations ."
1,409061,408834,"A base configuration with a 2.0GHz Intel Celeron processor , 128M bytes of memory , a 40G-byte hard drive , and a CD-ROM drive costs US $ 729 .","A base configuration with a 2.4GHz Pentium 4 , 128MB of RAM , a 40GB hard drive , and a CD-ROM drive costs $ 699 ."
1,3076578,3076653,"The national denomination of the Episcopal Church , with 2.3 million members , is the U.S. branch of the 77 million-member Anglican Communion .","The Episcopal Church , with 2.3 million members , is the American branch of the worldwide Anglican Communion , which has 77 million adherents ."
1,2426433,2426378,"Shares of MONY were gaining $ 2.57 , or 9 % , to $ 31.90 in after-hours trading on Instinet .",MONY shares rose 8.76 per cent to $ 31.90 in after-hours trading in New York .
1,2485432,2485492,Both have aired videotapes of ex-president Saddam Hussein encouraging Iraqis to fight the U.S. occupation of Iraq .,"Both have aired videotapes apparently from deposed Iraqi President Saddam Hussein , encouraging Iraqis to fight the U.S. occupation ."
0,2506940,2506972,"However , Hayes , the CDC official , said there are many complicated interactions in play .","""But Hayes , of the CDC said , """" Many complicated interactions come into play that are often difficult to predict . """""""
1,71782,72136,Missouri Gov. Bob Holden asked the White House to declare a federal disaster in 39 counties .,Gov. Bob Holden asked Bush to declare 39 Missouri counties disaster areas .
1,2636441,2636304,Scholars in medical ethics have said the issue of medicating patients to improve their mental health to execute them might present formidable obstacles for doctors .,Scholars in medical ethics have said the notion of medicating people to improve their mental health to the point where they may be executed can present formidable obstacles for doctors .
1,1330381,1330521,"They had published an advertisement on the Internet on June 10 , offering the cargo for sale , he added .","On June 10 , the ship 's owners had published an advertisement on the Internet , offering the explosives for sale ."
1,713224,713249,"Testing of the swimsuit at a state police lab and at a private lab in Virginia had not yet been able determine whether it belonged to Bish , Conte said .","Testing at a Massachusetts State Police lab and a private Virginia lab has not been able to determine whether the swimsuit belonged to Bish , Conte said yesterday ."
1,1549140,1549120,"The male eagle was found by a zookeeper early Thursday , suffering from severe puncture wounds in his abdomen .","The 21-year-old eagle , found by a zookeeper early Thursday , had severe puncture wounds to his abdomen and back , spokeswoman Julie Mason said ."
0,2440474,2440558,"They cover more than 300,000 UAW workers and 500,000 retirees and spouses .","GM , the world 's largest automaker , has 115,000 active UAW workers and 340,000 retirees and spouses ."
1,2594785,2594802,"U.S. manufacturing growth expanded for the third straight month in September but at a slower pace , according to a report released shortly after the opening bell .","US manufacturing grew for the third consecutive month in September , but at a slower rate than in previous months , according to a survey released Wednesday ."
1,259814,260052,"Before addressing the economy , Bush discussed the terrorist attacks in Saudi Arabia , which killed as many as 29 people , including seven Americans .","The president began his speech by acknowledging the terrorist attacks in Saudi Arabia that killed at least 29 people , including seven Americans ."
0,2063773,2063818,A power cut in New York in 1977 left 9 million people without electricity for up to 25 hours .,"The outage resurrected memories of other massive power blackouts , including one in 1977 that left about 9 million people without electricity for 25 hours ."
0,2784891,2784624,Bolivia 's army fought to stop columns of protesters from streaming into the food-starved capital on Wednesday as a popular uprising against the president spread .,"Bolivia 's army fought to stop a column of dynamite-wielding miners from streaming into the besieged capital on Wednesday , leaving two dead as a popular uprising against the President spread ."
0,859527,859427,"When contacted last night , Perkins declined comment .",Perkins and Kansas Chancellor Robert Hemenway declined comment Sunday night .
