index,genre,filename,year,old_index,source1,source2,sentence1,sentence2,score
3544,main-news,deft-news,2014,94,none,none,government spokesman maseko stated that if administrative papers are in order the government of south africa cannot intervene to prevent weapons from being transported through its territory to a neighboring landlocked country.,spokesman themba maseko stated as long as administrative papers are in order south africa cannot intervene to prevent weapons being transported through south african territory to zimbabwe.,2.8
3067,main-news,MSRpar,2012,168,none,none,"The Federal Trade Commission (FTC) asked Congress today for additional authority to fight unwanted Internet spam, which now accounts for up to half of all e-mail traffic.","The Federal Trade Commission asked Congress yesterday for broader powers to attack the rapidly growing problem of spam, which new studies show accounts for half of all e-mail traffic.",5.0
5122,main-news,headlines,2015,427,none,none,More Deaths Expected in Canada Oil Train Explosion,Five dead in Canada train crash,2.8
5572,main-news,headlines,2016,164,Europe Media Monitor (http://emm.newsbrief.eu),Europe Media Monitor (http://emm.newsbrief.eu),Egypt braces for 'Friday of anger' after carnage,Egypt braces for Friday of anger after bloody crackdown,4.0
2457,main-news,MSRpar,2012,12,none,none,One of the most well studied facets of temperament is how people respond to novelty.,One of the defining and well-studied characteristics of temperament is how people react to novelty.,4.8
2383,main-forum,deft-forum,2014,383,none,none,fix?: Islam itself is not political.,Islam has always been political.,1.2
1773,main-captions,images,2015,827,none,none,A man with long hair is looking through a camera.,A woman stands against a wall near a video camera.,1.0
2860,main-news,MSRpar,2012,624,none,none,"A second victim, Michael Walker, 23, was struck in the torso, the bullet perforating his lung.","The other victim, Michael Walker, of 550 Barbey Street, was struck in the neck.",2.2
3206,main-news,MSRpar,2012,402,none,none,The weather service reported maximum sustained winds of nearly 105 miles an hour with stronger gusts.,"Maximum sustained winds were around 40 mph, with stronger gusts.",2.25
5216,main-news,headlines,2015,661,none,none,Cricket-England v Australia fourth test scoreboard,"Cricket-England 155-4 v Australia, fourth test - tea",4.0
