source,label,sentence
ks08,1,The child was never deceived.
l-93,1,Those books slide across the table easily.
l-93,1,Wilma completed the assignment.
bc01,1,Lilly should buy salmon and Mary should buy salmon too.
l-93,0,Doug removed the scratches out of the drawer.
c_13,1,I am fond of circus performers.
r-67,1,She asked a man who was near the window whether it looked like rain.
b_82,1,John whined that he was hungry.
bc01,1,"Sally might have eaten cabbage, but Holly shouldn't."
rhl07,1,Jake threw the ball halfway to Bill.
