source,label,author,sentence
bc01,1,,Our love their.
bc01,1,,Mickey teamed up with the women.
ad03,1,,It appears that Poseidon owns a dragon
gj04,1,,One more pseudo generalization and I'm giving up.
r-67,1,,"Tom ordered bacon, and Dick lettuce, and Harry tomatoes."
ks08,1,,"The man, a ball kicked."
kl93,1,,I'm surprised we had any potatoes.
ad03,1,,"So quickly did the vampire move, that we barely saw him."
r-67,0,*,"Fluffy is sick, which I fell asleep and Tom suddenly realized."
b_73,0,*,She's just enough tall.
c_13,0,*,How do you wonder what John bought?
b_73,1,,I've never seen a man taller than my mother.
sgww85,1,,You and Kerry have outdone yourselves.
sks13,1,,Henry saw that Bill left.
l-93,1,,Wilma completed the assignment.
cj99,1,,"The more people arrive, the louder that it gets."
sks13,1,,I wonder whether Mary will win.
d_98,1,,Seldom is any lion majestic.
r-67,0,*,"Every student, who wears socks, is a swinger."
ks08,1,,Tokyo has not loosened trade restrictions.
r-67,0,*,"I, I like beer."
r-67,1,,The socks are ready for you to announce that you will put them on.
c_13,1,,Who do you think that Ciaran will question first?
ad03,0,*,Jason whispered the phoenix had escaped
d_98,1,,John kissed even the ugliest woman.
bc01,1,,They seemed all to like John.
l-93,1,,Teresa bottle fed soy milk to the baby.
kl93,0,*,Every boy has any potatoes.
sks13,1,,John believes it to be obvious that Bill left.
b_73,1,,It was so awful a picture that I tore it up.
c_13,1,,The captain sank the boat with a torpedo.
m_02,1,,Have you ever visited Doubtful Sound?
c_13,1,,I am frightened of tigers and fond of clowns without exception.
l-93,1,,Penny rowed across the lake.
r-67,1,,"That the cops spoke to the janitor about it yesterday, that robbery, is terrible."
ks08,0,*,Speaking not English is a disadvantage.
b_82,0,*,"Will, after John comes home, Sally take a shower?"
m_02,0,*,Accountant was sitting at her desk.
l-93,0,*,We spotted them run.
bc01,0,*,Mary is fond him.
bc01,1,,John tried.
r-67,0,*,How brave Mike is cowardly and Sam is!
l-93,0,*,Harriet alternated folk songs and pop songs together.
l-93,0,*,The city destroyed.
c_13,1,,I want him to eat asparagus.
r-67,1,,Bob is too thin for me to be able to squeeze into his jacket.
sks13,0,*,There ran many people.
ad03,1,,Bill's reading Shakespeare and Maureen's singing Schubert satisfy me
ad03,0,*,Jason asked whether that the potion was ready
r-67,1,,"If I can work on it, I will."
r-67,0,*,The only relatives with whom I'd like to do away are my aunts.
r-67,1,,I know two men behind me.
b_73,1,,John wants to come up with as good a solution as Christine did.
ad03,1,,Willow said that she'd kiss Tara and kick Xander.
g_81,1,,To which city and which conference did Bill go?
bc01,1,,Did Harry leave?
ks08,0,*,What did John wonder who would win?
ks08,1,,My bother's friend learned dancing.
ad03,1,,Anson very happily demonized David.
m_02,1,,That piano was bought for his secret fiancée by the wealthy young man.
l-93,1,,Heather cabled the news.
ks08,1,,"John asked me to put the clothes in the cupboard, and to annoy him I stuffed them there."
sks13,0,*,I had a realization of there.
bc01,1,,John rolled the ball down the hill perfectly.
ad03,1,,Lee's youngest and Dawn's oldest son ran away.
r-67,0,*,Which boy works in a skyscraper and the girl in a quonset hut?
m_02,1,,The commuters travelled by army lorry because of the strike.
m_02,1,,Hartfield House is in Surrey.
l-93,0,*,The collaborators escaped the convict.
l-93,0,*,The sun bloomed the roses.
bc01,1,,Ions struck the electrode.
bc01,1,,Some branches broke off of the tree.
sks13,0,*,We think if Bill left.
m_02,1,,Ayala sent her cousin the diamond necklace.
cj99,0,*,"When it rains harder, how much faster a flow that appears in the river?"
sks13,1,,I prefer this.
ks08,1,,We hope that such a vaccine could be available in ten years.
ad03,1,,John saw Stephan
b_73,0,*,He's an as reliable man.
bc01,1,,John's refusal of the offer was shocking.
bc01,1,,The train got to the station fully.
d_98,1,,John talked to anybody who came up to him at the party.
ks08,0,*,The child is impossible to teach him.
cj99,1,,John was lots more obnoxious than Fred was.
sks13,1,,John had carefully studied Russian.
l-93,0,*,Flies swat easily.
ks08,0,*,John referred from the building.
cj99,1,,"The angrier that Sue gets, the more that Fred admires her."
sks13,1,,John knows.
l-93,0,*,My eyes are itching my brother.
r-67,1,,What exploded when?
m_02,1,,The piano Frank bought for Jane.
ks08,1,,is out since the following is finite.
ks08,0,*,Tom got understood to have asked for a refund.
ks08,1,,We found out that very lucrative jobs were in jeopardy.
rhl07,1,,I sent the package all the way around the world.
ad03,0,*,Ron asked that the potion was ready
rhl07,1,,I shipped the package halfway around the world.
ad03,1,,Benjamin gave the cloak to Lee.
bc01,0,*,The boys were made a good mother by Aunt Mary.
