index,sentence1,sentence2,label
2343,"By 1979, the literacy rate in Cuba was higher than 90%, comparable to the rates in the United States and other developed countries.",The literacy rate in Cuba is 90%.,not_entailment
1109,"Nevertheless, 58 percent of Americans expressed their satisfaction with the President's job performance. 44 percent supported Nixon at the very beginning of the investigation into Watergate.","Although 58% of Americans are unsatisfied with Clinton's job performance, 44% found Nixon's work adequate at the start of the Watergate scandal.",not_entailment
200,"This paper discusses marijuana, crack/cocaine, tranquilizers, hallucinogens, amphetamines, heroin, alcohol, nicotine and caffeine to provide a framework for the author's argument that the legalization of drugs can in no way be deemed as ethical or moral.",Drug legalization has benefits.,not_entailment
1990,"The petrol price reductions seen across most of Australia have been short-lived for those living in the regional New South Wales city of Bathurst. An investigation by Wikinews has discovered retailers in Bathurst were late to lower petrol pricing and have been amongst the first to increase them. Following a threat by the Australian Competition and Consumer Commission (ACCC) to publically shame fuel retailers and oil companies, most fuel outlets across Australia reduced prices by 5 to 10 cents per litre. The ACCC argued that the wholesale cost of petrol was around 10 cents per litre higher than the Singapore market, which Australia benchmarks itself against. On January 24, the price of Unleaded fuel in Bathurst dropped only 2 cents from 119.9 cents to 117.9 cents. Today, Coles Express on Durham Street has increased the price of their unleaded fuel to the previous level of 119.9 cents.",Bathurst is located in New South Wales.,entailment
551,"Christopher Reeve, an actor and director who became an inspiration worldwide after being paralyzed in a horse riding accident, died Sunday of heart failure.",Christopher Reeve had an accident.,entailment
197,"In 1596 the Polish king decided to move the capital from Krakow to Warsaw, making Warsaw the most important city in Poland.","In 1611 the king and his court finally moved from Krakow ( Cracow ) to Warsaw, making it the capital of the Polish state.",not_entailment
725,"""The President's Emergency Plan for AIDS Relief (PEPFAR) provides funding for HIV/AIDS, malaria and tuberculosis treatment in 15 focus countries among the world's poorest, mainly in Africa. As of September 30, PEPFAR supported life-saving antiretroviral treatment for over 2.1 million men, women and children living with HIV/AIDS around the world, including more than two million people in Sub Saharan Africa, Perino said. Nearly 9.7 million people affected by HIV/AIDS in PEPFAR countries, including nearly four million orphans and other children, had received """"compassionate care"""" by that date, she said. """"Nearly 240,000 babies have been born HIV-free due to the support of the American people for programs to prevent mothers from passing the virus on to their children,"""" Perino added.""",Pepfar was founded by President Bush.,not_entailment
2460,The Truth and Reconciliation Commission's investigators submitted the preliminary results of their work in early October to around 200 organisations and individuals to warn them of charges against them and to give them the opportunity to respond before final drafting of the report.,"The Commission investigated 200 people and oragnisations, before charging them, in order to prevent them from responding prior to the official release of the report.",not_entailment
584,"Edward VIII shocked the world in 1936 when he gave up his throne to marry an American divorcee, Wallis Simpson.",King Edward VIII abdictated in 1936.,entailment
1026,"India and Pakistan have agreed to release hundreds of fishermen and other civilians in each other's jails, a goodwill measure that comes as part of a peace process between the two countries.",India and Pakistan have decided to free hundreds of civilian prisoners in each others jails.,entailment
653,"""A song proclaiming that United States president-elect Barack Obama is Irish has got more than 600,000 views on video sharing site YouTube, with many of those views coming after he was elected on November 4. """"O'Leary, O'Reilly, O'Hare and O'Hara, There's no one as Irish as Barack O'Bama,"""" states the song. """"You don't believe me, I hear you say. But Barack's as Irish, as was JFK. His granddaddy's daddy came from Moneygall, a small Irish village, well known to you all"""".""","According to a song, Barack Obama is Irish.",entailment
74,Ruth's 1927 single season record of 60 home runs stood unsurpassed until Roger Maris hit 61 in 1961.,Babe Ruth hit 60 home runs in his lifetime.,not_entailment
2300,"Kaspars Ruklis, press official at the United States Embassy, told the Baltic News Service that Mrs. Bush chose to visit Latvia's Occupation.",Kaspars Ruklis works for the United States Embassy.,entailment
954,"Moog built his first electronic instrument - a theremin - at the age of 14 and made the MiniMoog, 'the first compact, easy-to-use synthesiser', in 1970.","Aged just 14, Moog built his first electronic instrument, a theremin.",entailment
367,"""Pope Benedict XVI is currently visiting Poland on his third pilgrimage. The motto of his pilgrimage to the home country of previous Pope, John Paul II, is """"Stand firm in your faith"""". The Pope arrived at Okecie airport in Warsaw on May 25. He met with President Lech Kaczynski and prayed in an evangelic-augsburg church together with representatives of seven minor Polish churches. The following day he said mass at Pilsudski Square, mirroring a precedent set by his predecessor 27 years earlier. Benedict XVI talked in Latin and in small parts in Polish. Later that day he went to Czestochowa.""",Benedict XVI is the Pope.,entailment
870,It uses the first day of the first month of the Lunar Year as the start of the Chinese New Year.,The Chinese New Year's Day falls on the first day of the first month of the Lunar Year.,entailment
896,Trade between China and India is expected to touch $20 bn this year and Chinese investors are now rushing into India - lured by the country's growing wealth.,There is a profitable trade between China and India.,entailment
2303,Military ties between the two countries have been governed officially by an arms embargo imposed by Britain on Argentina.,Britain has maintained an arm embargo.,entailment
462,"Between 143 and 152 people have now been hospitalized in the wake of Monday's train derailment near Lviv, Ukraine, and subsequent phosporous cloud.  According to the Ukrainian Healthcare Ministry's spokesperson, Igor Gerych, 43 of the injured are children, 13 are firemen and three are medical  personnel. None are considered to be in mortal danger, yet some cases remain at medium risk level.",A railway disaster caused a fire.,not_entailment
738,Hinostroza's children told police that four hooded individuals broke into the house and shot their mother after having insulted her.,Hinostroza's children attaked their mother with a gun.,not_entailment
833,Today in the city of Sao Paulo (from May 1 to May 30) we have a display on Ayrton Senna.,Ayrton Senna was from Sao Paulo.,not_entailment
1373,"German automaker, Volkswagen AG, launched a special collector's edition of its original Beetle, on Thursday, to mark the end of the line for the most popular car in history.",Volkswagen AG produces the 'Beetle'.,entailment
1824,"Francis Deng believes the government will be receptive to the plan to deploy 1,800 peacekeeping troops.",The AU said it may send a 2 000-strong peacekeeping force.,not_entailment
2330,Scotland Yard has been granted two more days to question nine of the 13 men arrested in co-ordinated anti-terrorism raids across the country last Tuesday.,13 men killed in co-ordinated anti-terrorism raids across the country last Tuesday.,not_entailment
142,"""Tony Blair, who has yet to release any official comments, said in a BBC documentary last month: """"You know you can't have a religious faith and it be an insignificant aspect because it's, it's profound about you and about you as a human being."""" He also said that he had avoided discussing his religious views out of fear of being called """"a nutter.""""""",Blair belongs to the Church of England.,not_entailment
614,"""One year on since he was elected to office as President of Paraguay, Fernando Lugo is making headlines in the country he leads, but for all the wrong reasons. Newspapers and TV programmes have been dominated by stories of women coming forward to claim they had a child with the former Catholic bishop. This """"political soap opera"""", complained one of these reports, is """"paralysing the government"""".  Three women have made allegations so far and there were reports in the Paraguay media that there may be more claims to come.""",Fernando Lugo was a Catholic bishop.,entailment
639,"Twenty-four people, among them seven children, were killed on Sunday after their airplane crashed in a river in Brazil. Four people survived the crash, including a 9-year-old boy. The aircraft, which was a twin-engine Embraer turboprop chartered by Manaus Aerotaxis, was carrying 26 passengers and two crew members when it crashed. The pilots of the plane, which had departed from Coari, had supposedly contacted the air traffic control near their destination of Manaus to announce  that they were turning back. The plane, however, then disappeared from radar. The plane made an emergency landing in the river Manacapuru, a branch the  Amazon river in the Brazilian state of Amazonas, 50 miles (80 kilometers) from Manaus.",24 people died in an airplane crash.,entailment
2453,"Muslims make up some 3.2 million of Germany's 82 million people, and Turks represent two thirds of the minority.",82 million people live in Germany.,entailment
2435,"""However, Peter Cervelli of the Alaska Volcano Observatory said that """"Anchorage might dodge the bullet"""" and come through the eruption unscathed. Dave Stricklan of the National Weather Service predicted a """"light dusting"""" of fine ash that would disrupt air travel but not seriously affect people on the ground. Mudflows may affect the Drift and Crescent Rivers. Mount Redoubt last erupted in late 1989, causing mudflows which put an oil refinery at risk while ash from the eruption stalled the engine of a passing airliner. US$160 million worth of damage was estimated to have been caused.""",The Volcano Observatory in Alaska is the employer of Peter Cervelli.,entailment
2046,"CNET reporter James Kim has been found dead in the southwestern Oregon wilderness after getting lost with his family on November 25. Kim, 35, was found at 12:00 noon Wednesday, half a mile away from the Rogue River. His wife Kati Kim, 30-years-old, and her two young children were found alive on December 4 after they waved an umbrella to a private helicopter. Kati and her two children were airlifted out of the area and transferred by ambulance to Three Rivers Community Hospital in Grants Pass. Kati suffered frostbite on two toes, but it is expected that she will be in good condition.",James Kim worked for CNET.,entailment
2010,"I recently took a round trip from Abuja to Yola, the capital of Adamawa State and back to Abuja, with a fourteen-seater bus.",Abuja is located in Adamawa State.,not_entailment
232,Five U.S. soldiers were killed and five wounded Friday in an ambush near the Shiite neighborhood Sadr City.,Five US soldiers were killed and five wounded on Friday in an ambush near the Shi'ite neighbourhood Sadr City.,entailment
1485,"Even though the rug was ripped out from under Lollapalooza this week, Jane's Addiction frontman Perry Farrell is optimistic that the eclectic music festival he co-founded in 1991 will resurface and it might be sooner than you think.",Perry Farrel hopes to found another music festival.,not_entailment
2252,"""Now, President Barack Obama, discussing his plans for health care, has vowed to find """"a cure"""" for cancer in our time and said that, as part of the economic stimulus package, he would increase federal money for cancer research by a third for the next two years. Cancer has always been an expensive priority. Since the war on cancer began, the National Cancer Institute, the federal government's main cancer research entity, with 4,000 employees, has alone spent $105 billion. And other government agencies, universities, drug companies and philanthropies have chipped in uncounted billions more.""",The headquarters of the National Cancer Institute are in Seattle.,not_entailment
1739,"The launch of France's new 24 hour TV news channel, France 24, saw the new jointly owned channel start by going online. A streaming broadcast became available on the internet from 19:29 GMT today. Future plans are to have the new channel available on cable and satellite with English and French reporting. Coverage in Arabic and Spanish is among the ambitious future plans for the channel.",France24 is a French TV Channel.,entailment
1733,"Jigish Avalani, group manager of Windows DNA marketing at Microsoft, explains that Windows DNA refers to the Windows Distributed interNet Application architecture, launched by Microsoft in fall of 1997.",Microsoft was established in fall of 1997.,not_entailment
2047,"Figures released today show that the number of organs donated by New Zealanders in 2006 has decreased by four to a new record low of 25. In 2005 the number of organs donated equalled 29, a previous record low in New Zealand. Before 2005 the number of organ donations averaged 40, an already low number by international standards.",Organ transplant saves lives.,not_entailment
1968,"""Professor Sir Alec Jeffreys, whose pioneering discoveries revolutionised police investigation techniques, told the Guardian newspaper innocent people were being """"branded as criminals"""" because the database retained details of everyone arrested, regardless of whether they were later convicted. The Government now holds more than five million profiles, up 1.4 million in two years. Sir Alec also called for improved genetic testing procedures, warning that the current system could result in a miscarriage of justice, in an interview with the Guardian newspaper.""",Alec Jeffreys is the inventor of genetic fingerprinting.,not_entailment
1550,"The galaxy, measuring just 2,000 light-years across, is a fraction of the size of our own Milky Way, which stretches 100,000 light-years in diameter.","The Milky Way measures 2,000 light-years across.",not_entailment
1972,A leading human rights group on Wednesday identified Poland and Romania as the likely locations in eastern Europe of secret prisons where al-Qaeda suspects are interrogated by the Central Intelligence Agency.,CIA secret prisons were located in Eastern Europe.,entailment
2380,"In naming Guillermo Ortiz to be Mexico's finance minister, President Ernesto Zedillo appointed a friend, former colleague and, like himself, a U.S.-trained economist.",Guillermo Ortiz was born in Mexico.,not_entailment
2359,"Bowles will take the title HRH Duchess of Cornwall, changing it to the Princess Consort, when Charles becomes King.","Camilla will be a duchess until Charles becomes King, when she will become Princess Consort.",entailment
602,"""The recovery of the capsule, which carried astronaut Virgil """"Gus"""" Grissom on a brief suborbital flight on July 21, 1961, took place on the 30th anniversary of mankind's first moon landing.""",The moon was first touched by mankind in 1969.,not_entailment
